Title,Runtime,Genre(s),Director(s),Writer(s),Actor(s),Rating,Number of ratings
Hacksaw Ridge,139,Biography;Drama;History,Mel Gibson,Robert Schenkkan;Andrew Knight,Andrew Garfield;Sam Worthington;Luke Bracey,8.2,273362
Kill Bill: Vol. 1,111,Action;Crime;Thriller,Quentin Tarantino,Quentin Tarantino;Quentin Tarantino,Uma Thurman;David Carradine;Daryl Hannah,8.1,813346
Rang De Basanti,157,Comedy;Drama;History,Rakeysh Omprakash Mehra,Renzil D'Silva;Prasoon Joshi,Aamir Khan;Soha Ali Khan;Siddharth,8.3,85160
Hoe tem je een draak,98,Animation;Adventure;Comedy,Dean DeBlois;Chris Sanders,William Davies;Dean DeBlois,Jay Baruchel;Gerard Butler;Christopher Mintz-Plasse,8.1,542389
La La Land,128,Comedy;Drama;Music,Damien Chazelle,Damien Chazelle,Ryan Gosling;Emma Stone;Rosemarie DeWitt,8.1,320236
La passion de Jeanne d'Arc,110,Biography;Drama;History,Carl Theodor Dreyer,Joseph Delteil;Carl Theodor Dreyer,Maria Falconetti;Eugene Silvain;André Berley,8.2,30879
Mary and Max,92,Animation;Comedy;Drama,Adam Elliot,Adam Elliot,Toni Collette;Philip Seymour Hoffman;Eric Bana,8.1,133929
Gone Girl,149,Crime;Drama;Mystery,David Fincher,Gillian Flynn;Gillian Flynn,Ben Affleck;Rosamund Pike;Neil Patrick Harris,8.1,666851
Shutter Island,138,Mystery;Thriller,Martin Scorsese,Laeta Kalogridis;Dennis Lehane,Leonardo DiCaprio;Emily Mortimer;Mark Ruffalo,8.1,891552
Thor: Ragnarok,130,Action;Adventure;Comedy,Taika Waititi,Eric Pearson;Craig Kyle,Chris Hemsworth;Tom Hiddleston;Cate Blanchett,8.2,112748
Into the Wild,148,Adventure;Biography;Drama,Sean Penn,Sean Penn;Jon Krakauer,Emile Hirsch;Vince Vaughn;Catherine Keener,8.1,475539
Het gebeurde op 'n avond,105,Comedy;Romance,Frank Capra,Robert Riskin;Samuel Hopkins Adams,Clark Gable;Claudette Colbert;Walter Connolly,8.2,72971
Life of Brian,94,Comedy,Terry Jones,Graham Chapman;John Cleese,Graham Chapman;John Cleese;Michael Palin,8.1,298592
Logan,137,Action;Drama;Sci-Fi,James Mangold,James Mangold;Scott Frank,Hugh Jackman;Patrick Stewart;Dafne Keen,8.2,403486
Relatos salvajes,122,Comedy;Drama;Thriller,Damián Szifron,Damián Szifron,Darío Grandinetti;María Marull;Mónica Villa,8.1,120537
Platoon,120,Drama;War,Oliver Stone,Oliver Stone,Charlie Sheen;Tom Berenger;Willem Dafoe,8.1,319597
Hotel Rwanda,121,Biography;Drama;History,Terry George,Keir Pearson;Terry George,Don Cheadle;Sophie Okonedo;Joaquin Phoenix,8.1,288191
Le salaire de la peur,131,Adventure;Drama;Thriller,Henri-Georges Clouzot,Georges Arnaud;Henri-Georges Clouzot,Yves Montand;Charles Vanel;Peter van Eyck,8.2,39980
A Wednesday,104,Crime;Drama;Mystery,Neeraj Pandey,Neeraj Pandey;Neeraj Pandey,Anupam Kher;Naseeruddin Shah;Jimmy Shergill,8.3,55476
Network,121,Drama,Sidney Lumet,Paddy Chayefsky,Faye Dunaway;William Holden;Peter Finch,8.1,115371
In the Name of the Father,133,Biography;Drama,Jim Sheridan,Gerry Conlon;Terry George,Daniel Day-Lewis;Pete Postlethwaite;Alison Crosbie,8.1,124122
Rush,123,Action;Biography;Drama,Ron Howard,Peter Morgan,Daniel Brühl;Chris Hemsworth;Olivia Wilde,8.1,352815
Stand by Me,89,Adventure;Drama,Rob Reiner,Stephen King;Raynold Gideon,Wil Wheaton;River Phoenix;Corey Feldman,8.1,301505
Persona,85,Drama;Thriller,Ingmar Bergman,Ingmar Bergman,Bibi Andersson;Liv Ullmann;Margaretha Krook,8.1,71612
Ben Hur,212,Adventure;Drama;History,William Wyler,Lew Wallace;Karl Tunberg,Charlton Heston;Jack Hawkins;Stephen Boyd,8.1,179567
The Grand Budapest Hotel,99,Adventure;Comedy;Drama,Wes Anderson,Stefan Zweig;Wes Anderson,Ralph Fiennes;F. Murray Abraham;Mathieu Amalric,8.1,555952
Les quatre cents coups,99,Crime;Drama,François Truffaut,François Truffaut;Marcel Moussy,Jean-Pierre Léaud;Albert Rémy;Claire Maurier,8.1,79113
Salinui chueok,131,Crime;Drama;Mystery,Joon-ho Bong,Joon-ho Bong;Kwang-rim Kim,Kang-ho Song;Sang-kyung Kim;Roe-ha Kim,8.1,81423
Jurassic Park,127,Adventure;Sci-Fi;Thriller,Steven Spielberg,Michael Crichton;Michael Crichton,Sam Neill;Laura Dern;Jeff Goldblum,8.1,690881
12 Years a Slave,134,Biography;Drama;History,Steve McQueen,John Ridley;Solomon Northup,Chiwetel Ejiofor;Michael Kenneth Williams;Michael Fassbender,8.1,508765
Mad Max: Fury Road,120,Action;Adventure;Sci-Fi,George Miller,George Miller;Brendan McCarthy,Tom Hardy;Charlize Theron;Nicholas Hoult,8.1,669801
Million Dollar Baby,132,Drama;Sport,Clint Eastwood,Paul Haggis;F.X. Toole,Hilary Swank;Clint Eastwood;Morgan Freeman,8.1,532492
Spotlight,128,Crime;Drama;History,Tom McCarthy,Josh Singer;Tom McCarthy,Mark Ruffalo;Michael Keaton;Rachel McAdams,8.1,292653
Stalker,162,Drama;Sci-Fi,Andrei Tarkovsky,Arkadiy Strugatskiy;Boris Strugatskiy,Alisa Freyndlikh;Aleksandr Kaydanovskiy;Anatoliy Solonitsyn,8.1,80077
Butch Cassidy and the Sundance Kid,110,Biography;Crime;Drama,George Roy Hill,William Goldman,Paul Newman;Robert Redford;Katharine Ross,8.1,167796
Amores perros,154,Drama;Thriller,Alejandro González Iñárritu,Guillermo Arriaga,Emilio Echevarría;Gael García Bernal;Goya Toledo,8.1,188975
The Truman Show,103,Comedy;Drama;Sci-Fi,Peter Weir,Andrew Niccol,Jim Carrey;Ed Harris;Laura Linney,8.1,747004
Hachi: A Dog's Tale,93,Drama;Family,Lasse Hallström,Stephen P. Lindsey;Kaneto Shindô,Richard Gere;Joan Allen;Cary-Hiroyuki Tagawa,8.1,188555
The Maltese Falcon,100,Film-Noir;Mystery,John Huston,John Huston;Dashiell Hammett,Humphrey Bogart;Mary Astor;Gladys George,8.1,124971
Kaze no tani no Naushika,117,Animation;Adventure;Fantasy,Hayao Miyazaki,Hayao Miyazaki;Hayao Miyazaki,Sumi Shimamoto;Mahito Tsujimura;Hisako Kyôda,8.1,110162
The Princess Bride,98,Adventure;Family;Fantasy,Rob Reiner,William Goldman;William Goldman,Cary Elwes;Mandy Patinkin;Robin Wright,8.1,323393
Before Sunrise,101,Drama;Romance,Richard Linklater,Richard Linklater;Kim Krizan,Ethan Hawke;Julie Delpy;Andrea Eckert,8.1,208996
Le notti di Cabiria,110,Drama,Federico Fellini,Federico Fellini;Ennio Flaiano,Giulietta Masina;François Périer;Franca Marzi,8.2,30539
Paper Moon,102,Comedy;Crime;Drama,Peter Bogdanovich,Joe David Brown;Alvin Sargent,Ryan O'Neal;Tatum O'Neal;Madeline Kahn,8.2,27189
Prisoners,153,Crime;Drama;Mystery,Denis Villeneuve,Aaron Guzikowski,Hugh Jackman;Jake Gyllenhaal;Viola Davis,8.1,455972
Harry Potter and the Deathly Hallows: Part 2,130,Adventure;Drama;Fantasy,David Yates,Steve Kloves;J.K. Rowling,Daniel Radcliffe;Emma Watson;Rupert Grint,8.1,613913
The Grapes of Wrath,129,Drama;History,John Ford,Nunnally Johnson;John Steinbeck,Henry Fonda;Jane Darwell;John Carradine,8.1,70172
Rocky,120,Drama;Sport,John G. Avildsen,Sylvester Stallone,Sylvester Stallone;Talia Shire;Burt Young,8.1,421330
Catch Me If You Can,141,Biography;Crime;Drama,Steven Spielberg,Jeff Nathanson;Frank Abagnale Jr.,Leonardo DiCaprio;Tom Hanks;Christopher Walken,8.1,618191
Demonen,117,Crime;Drama;Horror,Henri-Georges Clouzot,Pierre Boileau;Thomas Narcejac,Simone Signoret;Véra Clouzot;Paul Meurisse,8.1,47499
Touch of Evil,95,Crime;Drama;Film-Noir,Orson Welles,Orson Welles;Whit Masterson,Charlton Heston;Orson Welles;Janet Leigh,8.1,80278
Gandhi,191,Biography;Drama;History,Richard Attenborough,John Briley,Ben Kingsley;John Gielgud;Candice Bergen,8.1,188569
Donnie Darko,113,Drama;Sci-Fi;Thriller,Richard Kelly,Richard Kelly,Jake Gyllenhaal;Jena Malone;Mary McDonnell,8.1,640207
"Monsters, Inc.",92,Animation;Adventure;Comedy,Pete Docter;David Silverman,Pete Docter;Jill Culton,Billy Crystal;John Goodman;Mary Gibbs,8.1,657245
Munna Bhai M.B.B.S.,156,Comedy;Drama;Romance,Rajkumar Hirani,Vidhu Vinod Chopra;Rajkumar Hirani,Sunil Dutt;Sanjay Dutt;Arshad Warsi,8.2,55542
Annie Hall,93,Comedy;Romance,Woody Allen,Woody Allen;Marshall Brickman,Woody Allen;Diane Keaton;Tony Roberts,8.1,215726
Barry Lyndon,184,Adventure;Drama;History,Stanley Kubrick,Stanley Kubrick;William Makepeace Thackeray,Ryan O'Neal;Marisa Berenson;Patrick Magee,8.1,113817
Star Wars: Episode VII - The Force Awakens,136,Action;Adventure;Fantasy,J.J. Abrams,Lawrence Kasdan;J.J. Abrams,Daisy Ridley;John Boyega;Oscar Isaac,8.1,694815
The Terminator,107,Action;Sci-Fi,James Cameron,James Cameron;Gale Anne Hurd,Arnold Schwarzenegger;Linda Hamilton;Michael Biehn,8.0,661794
The Bourne Ultimatum,115,Action;Mystery;Thriller,Paul Greengrass,Tony Gilroy;Scott Z. Burns,Matt Damon;Edgar Ramírez;Joan Allen,8.1,540452
The Wizard of Oz,102,Adventure;Family;Fantasy,Victor Fleming;George Cukor,Noel Langley;Florence Ryerson,Judy Garland;Frank Morgan;Ray Bolger,8.1,319176
Groundhog Day,101,Comedy;Fantasy;Romance,Harold Ramis,Danny Rubin;Harold Ramis,Bill Murray;Andie MacDowell;Chris Elliott,8.0,487457
La haine,98,Crime;Drama,Mathieu Kassovitz,Mathieu Kassovitz,Vincent Cassel;Hubert Koundé;Saïd Taghmaoui,8.1,116413
8½,138,Drama,Federico Fellini,Federico Fellini;Ennio Flaiano,Marcello Mastroianni;Anouk Aimée;Claudia Cardinale,8.1,87441
Jaws,124,Adventure;Drama;Thriller,Steven Spielberg,Peter Benchley;Carl Gottlieb,Roy Scheider;Robert Shaw;Richard Dreyfuss,8.0,458533
De beste jaren van ons leven,170,Drama;Romance;War,William Wyler,Robert E. Sherwood;MacKinlay Kantor,Fredric March;Dana Andrews;Myrna Loy,8.1,44857
Twelve Monkeys,129,Mystery;Sci-Fi;Thriller,Terry Gilliam,Chris Marker;David Webb Peoples,Bruce Willis;Madeleine Stowe;Brad Pitt,8.0,503481
Mou gaan dou,101,Crime;Drama;Mystery,Wai-Keung Lau;Alan Mak,Alan Mak;Felix Chong,Andy Lau;Tony Chiu-Wai Leung;Anthony Chau-Sang Wong,8.1,101025
The Help,146,Drama,Tate Taylor,Tate Taylor;Kathryn Stockett,Emma Stone;Viola Davis;Octavia Spencer,8.1,353562
"Paris, Texas",145,Drama,Wim Wenders,L.M. Kit Carson;Sam Shepard,Harry Dean Stanton;Nastassja Kinski;Dean Stockwell,8.1,58723
Faa yeung nin wa,98,Drama;Romance,Kar-Wai Wong,Kar-Wai Wong,Tony Chiu-Wai Leung;Maggie Cheung;Ping Lam Siu,8.1,87905
Ah-ga-ssi,144,Crime;Drama;Mystery,Chan-wook Park,Sarah Waters;Seo-kyeong Jeong,Min-hee Kim;Jung-woo Ha;Jin-woong Jo,8.1,46617
De slag om Algiers,121,Drama;War,Gillo Pontecorvo,Franco Solinas;Franco Solinas,Brahim Hadjadj;Jean Martin;Yacef Saadi,8.1,42593
Belle en het Beest,84,Animation;Family;Fantasy,Gary Trousdale;Kirk Wise,Linda Woolverton;Brenda Chapman,Paige O'Hara;Robby Benson;Jesse Corti,8.0,347956
Dead Poets Society,128,Comedy;Drama,Peter Weir,Tom Schulman,Robin Williams;Robert Sean Leonard;Ethan Hawke,8.0,306579
Pirates of the Caribbean: The Curse of the Black Pearl,143,Action;Adventure;Fantasy,Gore Verbinski,Ted Elliott;Terry Rossio,Johnny Depp;Geoffrey Rush;Orlando Bloom,8.0,891824
PK,153,Comedy;Drama;Fantasy,Rajkumar Hirani,Rajkumar Hirani;Abhijat Joshi,Aamir Khan;Anushka Sharma;Sanjay Dutt,8.2,113010
Dog Day Afternoon,125,Biography;Crime;Drama,Sidney Lumet,Frank Pierson;P.F. Kluge,Al Pacino;John Cazale;Penelope Allen,8.0,200547
